hoy,value
1910,0.5
1911,0.8
1912,0.7
1913,0.7
1914,1.4
1915,2.5
1916,2.5
1917,2.4
1918,2.4
1919,2.4
1920,2.5
1921,2.4
1922,2.4
1923,2.4
1924,2.5
1925,2.4
1926,2.4
1927,2
1928,0.6
1929,0.7
1930,0.6
1931,0.6
1932,0.7
1933,0.7
1934,0.5
1935,0.4
1936,0.5
1937,0.9
1938,1.3
1939,2.3
1940,3
1941,2.8
1942,2.7
1943,2.5
1944,2.4
1945,2.3
1946,2.3
1947,2.3
1948,2.3
1949,2.3
1950,2.3
1951,1.6
1952,0.4
1953,0.3
1954,0.4
1955,0.7
1956,0.6
1957,0.6
1958,0.5
1959,0.4
1960,0.4
1961,0.3
1962,1
1963,1.6
1964,2.4
1965,2.4
1966,2.6
1967,2.5
1968,2.5
1969,2.5
1970,2.3
1971,2.3
1972,2.3
1973,2.3
1974,2.3
1975,2.3
1976,0.7
1977,0.4
1978,0.4
1979,0.3
1980,0.4
1981,0.4
1982,0.4
1983,0.4
1984,0.5
1985,0.3
1986,0.4
1987,2.2
1988,2.3
1989,2.3
1990,2.3
1991,2.3
1992,2.4
1993,2.3
1994,2.3
1995,2.3
1996,2.3
1997,2.3
1998,2.3
1999,2.3
2000,0.5
2001,0.3
2002,0.3
2003,0.4
2004,0.4
2005,0.3
2006,0.4
2007,0.4
2008,0.3
2009,0.4
2010,0.3
2011,1.7
2012,2.3
2013,2.3
2014,2.3
2015,2.3
2016,2.4
2017,2.3
2018,2.3
2019,2.3
2020,2.3
2021,2.3
2022,2.3
2023,2.1
2024,0.3
2025,0.3
2026,0.4
2027,0.3
2028,0.4
2029,0.4
2030,0.4
2031,0.3
2032,0.4
2033,0.5
2034,0.7
2035,2.3
2036,2.3
2037,2.3
2038,2.3
2039,2.3
2040,2.4
2041,2.3
2042,2.3
2043,2.3
2044,2.3
2045,2.4
2046,2.3
2047,0.3
2048,0.4
2049,0.3
2050,0.5
2051,0.8
2052,0.4
2053,0.4
2054,0.5
2055,0.9
2056,0.8
2057,0.9
2058,0.8
2059,1.5
2060,2.7
2061,2.4
2062,2.5
2063,2.4
2064,2.4
2065,2.5
2066,2.4
2067,2.5
2068,2.4
2069,2.5
2070,2.3
2071,0.5
2072,0.5
2073,0.5
2074,0.5
2075,0.5
2076,0.5
2077,0.5
2078,0.7
2079,0.6
2080,0.5
2081,0.6
2082,0.9
2083,1.5
2084,2.7
2085,2.4
2086,2.4
2087,2.4
2088,2.5
2089,2.4
2090,2.4
2091,2.5
2092,2.5
2093,2.4
2094,2.4
2095,2.6
2096,1.2
2097,0.4
2098,0.5
2099,0.5
2100,0.5
2101,0.5
2102,0.5
2103,0.4
2104,0.5
2105,0.5
2106,0.6
2107,1.9
2108,2.5
2109,2.4
2110,2.4
2111,2.5
2112,2.4
2113,2.4
2114,2.5
2115,2.4
2116,2.5
2117,2.4
2118,2.4
2119,1
2120,0.5
2121,0.5
2122,0.5
2123,0.5
2124,0.5
2125,0.5
2126,0.4
2127,0.6
2128,0.9
2129,0.4
2130,0.8
2131,2.5
2132,2.4
2133,2.4
2134,2.4
2135,2.5
2136,2.4
2137,2.5
2138,2.4
2139,2.4
2140,2.4
2141,2.5
2142,2.4
2143,1.3
2144,0.5
2145,0.5
2146,0.5
